Date,Bytes
2008-09-07,51473
2012-05-21,326946
2009-01-19,124026
2013-07-02,592978
2012-10-21,241843
2011-01-17,1705611
2010-04-11,180876
2010-02-11,174504
2009-05-23,194874
2013-07-20,1786990
2013-03-08,273181
2011-01-29,943710
2012-07-13,553997
2010-11-02,215016
2009-08-11,775366
2009-12-17,68026
2008-08-17,71880
2009-02-25,507519
2013-02-27,950162
2010-05-23,275432
2011-10-08,1278240
2011-08-10,379921
2010-01-28,338794
2008-09-22,380156
2013-07-24,4828076
2009-09-01,448481
2008-10-09,85472
2013-06-27,1903271
2013-02-28,862049
2009-10-08,124826
2010-06-17,339258
2012-03-23,1103120
2013-05-10,241004
2008-08-08,123018
2013-04-30,781560
2013-06-24,138939
2013-02-21,174499
2008-10-07,306464
2013-07-03,20628582
2010-03-01,175189
2013-07-06,228441
2009-02-18,705332
2009-09-17,1291349
2010-09-07,1239814
2013-02-13,279405
2009-05-05,52829
2010-08-27,326959
2011-02-07,114203
2010-01-13,232604
2010-04-16,301972
2013-02-27,358666
2012-08-03,144753
2009-05-04,256317
2008-12-15,332788
2009-10-11,911939
2008-08-06,319091
2012-06-19,156016
2012-10-17,2202401
2009-09-08,225036
2008-08-04,161080
2010-01-03,235408
2009-09-23,65194
2008-08-15,466530
2010-02-03,97500
2013-01-18,3702418
2013-03-13,926193
2012-08-22,151471
2013-01-02,382723
2013-02-20,2045992
2009-10-27,124722
2009-07-09,660049
2012-11-05,751757
2012-02-28,357922
2008-07-29,173147
2013-05-28,403217
2012-02-26,114807
2013-02-25,597485
2012-06-18,253820
2012-07-17,273712
2008-12-06,66684
2013-05-03,112908
2009-01-19,98886
2012-08-06,438285
2013-04-04,1840832
2009-08-23,169753
2009-07-10,1249555
2011-05-08,181083
2009-06-27,55617
2013-05-07,2663450
2010-05-12,254758
2010-05-28,138641
2013-04-15,490349
2010-03-31,151117
2010-03-23,2159779
2012-12-16,700459
2013-02-28,1170492
2013-03-05,608894
2013-07-13,4974785
2008-08-04,398148
2008-11-04,124641
2013-01-23,1409888
2009-05-14,243173
2013-06-24,190790
2009-10-21,212479
2009-05-04,1715750
2008-11-06,903960
2009-10-01,507593
2012-12-22,821286
2009-04-27,492902
2011-07-03,125642
2008-10-24,313829
2012-06-14,563210
2009-05-31,1098564
2008-08-06,103224
2008-07-29,344772
2009-06-11,110079
2012-11-13,722840
2010-02-06,1023718
2010-01-16,246684
2012-03-17,1731152
2009-09-23,119028
2013-04-09,1283411
2008-10-15,2188518
2013-07-02,477130
2010-04-14,2139709
2013-01-05,895354
2012-09-10,372132
2013-07-24,1714107
2009-06-30,258111
2011-09-22,300965
2009-04-18,221397
2008-09-24,290322
2010-08-17,1172024
2008-10-11,102317
2010-11-15,1504499
2009-10-03,325346
2008-12-14,154965
2009-09-27,53320
2008-09-18,282257
2009-01-26,80406
2013-06-15,731342
2012-06-30,327331
2008-09-11,245423
2013-05-10,167888
2009-04-22,232709
2012-01-06,161313
2011-10-04,2155732
2013-05-16,662225
2011-01-20,519034
2012-01-18,711059
2012-03-15,242833
2010-05-25,359431
2011-09-10,160392
2008-11-06,462949
2008-11-12,160184
2008-08-02,82288
2012-10-01,939637
2010-04-30,1934105
2008-09-18,53449
2012-08-24,1062436
2011-08-29,1079446
2009-06-30,149062
2008-09-10,165644
2009-08-23,175393
2009-02-26,641311
2011-06-05,409098
2011-06-05,1069676
2009-05-18,600152
2009-06-23,408251
2012-12-07,982376
2012-12-07,796303
2012-12-07,290611
2009-02-02,258763
2010-08-26,1057933
2009-06-15,283109
2011-01-23,2010085
2013-05-05,563688
2010-08-12,351720
2009-03-20,632232
2009-04-14,84392
2009-10-08,396866
2009-12-21,444114
2009-04-03,60322
2011-09-26,400783
2009-07-16,117872
2011-03-26,85770
2010-02-12,785076
2012-03-28,91677
2008-07-31,131248
2009-09-21,65635
2008-11-17,82072
2009-10-21,239032
2009-09-23,236152
2012-10-08,661530
2012-07-07,258130
2013-07-22,538882
2012-07-28,264132
2010-02-16,120156
